Year,Type,Value
2005,Espionage,1
2005,Sabotage,0
2005,Denial of service,0
2005,Defacement,0
2005,Financial Theft,0
2005,Data destruction,0
2005,Doxing,0
2005,Other,0
2006,Espionage,3
2006,Sabotage,0
2006,Denial of service,0
2006,Defacement,0
2006,Financial Theft,0
2006,Data destruction,0
2006,Doxing,0
2006,Other,0
2007,Espionage,7
2007,Sabotage,3
2007,Denial of service,0
2007,Defacement,0
2007,Financial Theft,0
2007,Data destruction,0
2007,Doxing,0
2007,Other,0
2008,Espionage,6
2008,Sabotage,0
2008,Denial of service,1
2008,Defacement,0
2008,Financial Theft,0
2008,Data destruction,0
2008,Doxing,0
2008,Other,0
2009,Espionage,3
2009,Sabotage,0
2009,Denial of service,1
2009,Defacement,0
2009,Financial Theft,0
2009,Data destruction,0
2009,Doxing,0
2009,Other,0
2010,Espionage,6
2010,Sabotage,1
2010,Denial of service,1
2010,Defacement,1
2010,Financial Theft,0
2010,Data destruction,0
2010,Doxing,0
2010,Other,0
2011,Espionage,12
2011,Sabotage,0
2011,Denial of service,2
2011,Defacement,0
2011,Financial Theft,0
2011,Data destruction,0
2011,Doxing,0
2011,Other,1
2012,Espionage,7
2012,Sabotage,0
2012,Denial of service,3
2012,Defacement,0
2012,Financial Theft,0
2012,Data destruction,2
2012,Doxing,0
2012,Other,0
2013,Espionage,18
2013,Sabotage,0
2013,Denial of service,1
2013,Defacement,0
2013,Financial Theft,0
2013,Data destruction,0
2013,Doxing,0
2013,Other,0
2014,Espionage,31
2014,Sabotage,1
2014,Denial of service,0
2014,Defacement,0
2014,Financial Theft,0
2014,Data destruction,1
2014,Doxing,1
2014,Other,1
2015,Espionage,30
2015,Sabotage,1
2015,Denial of service,1
2015,Defacement,1
2015,Financial Theft,0
2015,Data destruction,0
2015,Doxing,0
2015,Other,1
2016,Espionage,26
2016,Sabotage,2
2016,Denial of service,1
2016,Defacement,0
2016,Financial Theft,1
2016,Data destruction,3
2016,Doxing,0
2016,Other,0
2017,Espionage,36
2017,Sabotage,2
2017,Denial of service,2
2017,Defacement,1
2017,Financial Theft,2
2017,Data destruction,2
2017,Doxing,0
2017,Other,1
2018,Espionage,65
2018,Sabotage,5
2018,Denial of service,0
2018,Defacement,0
2018,Financial Theft,1
2018,Data destruction,0
2018,Doxing,5
2018,Other,5
2019,Espionage,56
2019,Sabotage,4
2019,Denial of service,2
2019,Defacement,0
2019,Financial Theft,0
2019,Data destruction,4
2019,Doxing,0
2019,Other,11
2020,Espionage,64
2020,Sabotage,6
2020,Denial of service,0
2020,Defacement,2
2020,Financial Theft,3
2020,Data destruction,2
2020,Doxing,0
2020,Other,11